,,Christmas,Green,Red,Grand Total
,0,,,,0
Bernalillo County,,84,55,37,176
Catron County,,1,1,1,3
Chaves County,,1,1,1,3
Cibola County,,,5,,5
Colfax County,,,3,1,4
Curry County,,2,3,1,6
De Baca County,,1,4,2,7
Doña Ana County,,21,53,12,86
Eddy County,,1,5,,6
Grant County,,3,20,1,24
Guadalupe County,,2,5,4,11
Harding County,,4,15,3,22
Hidalgo County,,1,4,,5
Lea County,,,5,1,6
Lincoln County,,1,3,,4
Los Alamos County,,1,4,,5
Luna County,,3,5,,8
McKinley County,,4,4,2,10
Mora County,,2,1,1,4
Otero County,,1,18,2,21
Quay County,,5,9,2,16
Rio Arriba County,,3,15,3,21
Roosevelt County,,2,,,2
San Juan County,,3,9,2,14
San Miguel County,,4,2,1,7
Sandoval County,,2,4,4,10
Santa Fe County,,14,4,4,22
Sierra County,,1,2,,3
Socorro County,,1,,1,2
Taos County,,4,2,2,8
Torrance County,,,3,,3
Union County,,1,1,1,3
Valencia County,,4,6,1,11
Grand Total,0,177,271,90,538